dataset,condition,raw_error,analysis,carrier
Real,AUDIT-followup,94.2,payload,S1
Real,SYSLOG,65.4,payload,S1
Real,AUDIT-status,57.7,payload,S1
Synthetic,Verdict,45.8,task,S1
Synthetic,Verdict,39.6,task,S3
Synthetic,IOC,35.4,task,S1
Synthetic,IOC,33.3,task,S3
Real,Verdict,77.9,task,S1
Real,Verdict,81.7,task,S3
Real,IOC,78.8,task,S1
Real,IOC,88.5,task,S3
Synthetic,distance-1-none,47.9,distance,S1
Synthetic,distance-1-none,37.5,distance,S3
Synthetic,distance-1-tame,22.9,distance,S1
Synthetic,distance-1-tame,10.4,distance,S3
Synthetic,distance-2-none,45.8,distance,S1
Synthetic,distance-2-none,37.5,distance,S3
Synthetic,distance-2-tame,25.0,distance,S1
Synthetic,distance-2-tame,8.3,distance,S3
Synthetic,distance-3-none,45.8,distance,S1
Synthetic,distance-3-none,41.7,distance,S3
Synthetic,distance-3-tame,18.8,distance,S1
Synthetic,distance-3-tame,10.4,distance,S3
